开始IP,结束IP,IP归属地
202.117.217.33,202.117.217.79,西安交通大学 东6-8舍
202.117.217.80,202.117.217.80,西安交通大学 东8-125
202.117.217.81,202.117.217.128,西安交通大学 东6-8舍
202.117.217.129,202.117.217.129,西安交通大学 东7舍117
202.117.217.130,202.117.217.255,西安交通大学 东6-9舍
202.117.218.0,202.117.218.255,西安交通大学 西十二舍
202.117.219.0,202.117.219.255,西安交通大学 东十一舍
202.117.220.0,202.117.220.255,西安交通大学 西四舍
202.117.221.0,202.117.221.61,西安交通大学 西一舍
202.117.221.62,202.117.221.62,西安交通大学 东校区西1舍101室
202.117.221.63,202.117.221.255,西安交通大学 西一舍
202.117.222.0,202.117.222.75,西安交通大学 西二舍
202.117.222.76,202.117.222.76,西安交通大学 东-9舍
202.117.222.77,202.117.222.255,西安交通大学 西二舍
202.117.223.0,202.117.223.255,陕西省西安市 西安交通大学
202.200.224.0,202.200.224.255,西安交通大学 西18/19/20舍
202.200.225.0,202.200.225.63,西安交通大学 东2/3舍
202.200.225.64,202.200.225.64,西安交通大学 东3舍218
202.200.225.65,202.200.225.106,西安交通大学 东2/3舍
202.200.225.107,202.200.225.107,西安交通大学 东3舍503
202.200.225.108,202.200.225.250,西安交通大学 东2/3舍
202.200.225.251,202.200.225.251,西安交通大学 东3舍
202.200.225.252,202.200.225.255,西安交通大学 东2/3舍
202.200.226.0,202.200.226.12,西安交通大学 东2/3舍5-8层
202.200.226.13,202.200.226.13,西安交通大学 东2-318
202.200.226.14,202.200.226.15,西安交通大学 东2/3舍5-8层
202.200.226.16,202.200.226.255,西安交通大学 东2/3舍1-4层
202.200.227.0,202.200.227.50,西安交通大学 东二舍5-8层
202.200.227.51,202.200.227.51,西安交通大学 东六舍5层
202.200.227.52,202.200.227.79,西安交通大学 东二舍5-8层
202.200.227.80,202.200.227.80,西安交通大学 东2-舍-310
202.200.227.81,202.200.227.205,西安交通大学 东二舍5-8层
202.200.227.206,202.200.227.206,西安交通大学 东3舍7层
202.200.227.207,202.200.227.211,西安交通大学 东二舍5-8层
202.200.227.212,202.200.227.212,西安交通大学 东三舍620
202.200.227.213,202.200.227.250,西安交通大学 东二舍5-8层
202.200.227.251,202.200.227.251,西安交通大学 东2宿舍634
